127.0.0.1 - - [20/Sep/2019:17:59:04 +0800] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [20/Sep/2019:18:01:22 +0800] "GET /Stu_Col/Login_Success_1.html HTTP/1.1" 200 539
0:0:0:0:0:0:0:1 - - [20/Sep/2019:18:01:22 +0800] "GET /Stu_Col/top.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [20/Sep/2019:18:01:22 +0800] "GET /Stu_Col/Menu_1.jsp HTTP/1.1" 200 2402
0:0:0:0:0:0:0:1 - - [20/Sep/2019:18:01:22 +0800] "GET /Stu_Col/buttom.html HTTP/1.1" 200 240
0:0:0:0:0:0:0:1 - - [20/Sep/2019:18:01:22 +0800] "GET /Stu_Col/main.jsp HTTP/1.1" 200 278
0:0:0:0:0:0:0:1 - - [20/Sep/2019:18:01:22 +0800] "GET /Stu_Col/Index.html HTTP/1.1" 200 3143
0:0:0:0:0:0:0:1 - - [20/Sep/2019:18:01:22 +0800] "GET /Stu_Col/image/4.jpg HTTP/1.1" 200 63985
0:0:0:0:0:0:0:1 - - [20/Sep/2019:18:01:22 +0800] "GET /Stu_Col/image/4.jpg HTTP/1.1" 500 8192
0:0:0:0:0:0:0:1 - - [20/Sep/2019:18:01:22 +0800] "GET /Stu_Col/css/mycss.css HTTP/1.1" 200 2025
0:0:0:0:0:0:0:1 - - [20/Sep/2019:18:01:22 +0800] "GET /Stu_Col/image/1.jpg HTTP/1.1" 200 43763
